identifier	scientificName	nuc-its	mit-gapdh	nuc-tef1
#gcon:defs	std	gene	gene	gene
BRIP 12490T	Bi. austrostipae	KX452442	KX452408	KX452459
BRIP 11740T	Bi. axonopicola	KX452443	KX452409	KX452460
BRIP 13577T	Bi. bamagaensis	KX452443	KX452411	KX452462
CBS 690.96	Bi. bicolor	KJ909762	KM042893	KM093776
BRIP 10965T	Bi. chloridis	KJ415523	KJ415423	KJ415472
BRIP 12530T	Bi. clavata	KJ415524	KX452443	KJ415471
BRIP 14845IsoT	Bi. coffeana	KJ415525	KJ415421	KJ415470
AR 5185	Bi. cookei	KJ922391	KM034833	KM093777
BRIP 14838	Bi. crotonis	KJ415526	KJ415420	KJ415479
CBS 109894	Bi. cynodontis	KJ909767	KM034838	KM093782
CBS 136207T	Bi. drechsleri	KF500530	KF500533	KM093760
BRIP 14840T	Bi. gossypina	KJ415528	KJ415418	KJ415467
BRIP 17186T	Bi. heliconiae	KJ415530	KJ415417	KJ415465
CBS 241.92	Bi. heveae	KJ415530	KM034843	KM093791
BRIP 14643IsoT	Bi. luttrellii	AF071350	AF081402
CBS 137271NT	Bi. maydis	AF071325	KM034846	KM093794
CBS 280.91T	Bi. microlaenae	JN601032	JN600974	JN601017
CBS 132550T	Bi. microstegii	JX089579	JX089575	KM093756
MFLUCC 100715NT	Bi. oryzae	JX256416	JX276430	KX452443
CBS 199.29LT	Bi. panicimiliacei	KJ909773	KM042896	KM093788
BRIP 12790T	Bi. peregianensis	JN601034	JN600977	JN601022
BRIP 14839IsoT	Bi. pluriseptata	KJ415532	KJ415414	KJ415461
ICMP 6227	Bi. sacchari	KJ922386	KM034842	KM093785
Bi 1T	Bi. salkadehensis	AB675490
BRIP 16571LT	Bi. salviniae	KJ415535	KJ415411	KJ415457
CBS 155.26T	Bi. saccharicola	KY905674	KY905686	KY905694
BRIP 14453IsoLT	Bi. secalis	KJ415537	KJ415409	KJ415455
CBS 141.31	Bi. setariae	EF452444	EF513206
BRIP 15929T	Bi. shoemakeri	KX452453	KX452419	KX452470
BRIP 12030T	Bi. simmondsii	KX452454	KX452420	KX452471
BRIP 15847T	Bi. sivanesaniana	KX452455	KX452421	KX452472
CBS 110.14	Bi. sorokiniana	KJ922381	KM034822	KM093763
BRIP 16226T	Bi. subramanianii	KX452457	KX452423	KX452474
ATCC 58317	Bi. urochloae	KJ922389	KM230396	KM093770
CBS 127716T	Bi. variabilis	KY905676	KY905688	KY905696
CBS 327.64T	Bi. victoriae	KJ909778	KM034811	KM093748
CBS 202.29ET	Bi. yamadae	KJ909779	KM034830	KM093773
BRIP 12239T	Bi. woodii	KX452458	KX452424	KX4524725
BRIP 11512IsoPT	Bi. zeae	KJ415538	KJ415408	KJ415454
FIP 532ET	Bi. zeicola	KM230398	KM034815	KM093752
